9.46,9.936666667,4.124,4.252,8.057,8.656666667,0,0,0,0,0.8,0.533333333,0,1.333333333,23.6,23.47
9.41,9.606666667,4.363,4.242,7.925,8.201333333,2.4,0.8,24.8,8.266666667,0.8,0.8,61.6,20.53333333,23.47,60.7
26.3,15.05666667,11.962,6.816333333,58.704,24.89533333,11.2,4.533333333,5.6,10.13333333,33.6,11.73333333,111.2,57.6,60.7,98.01
32.1,22.60333333,10.237,8.854,34.416,33.68166667,0,4.533333333,0,10.13333333,1.6,12,0.8,57.86666667,98.01,56.99
19.3,25.9,7.254,9.817666667,22.263,38.461,5.6,5.6,4,3.2,17.6,17.6,36,49.33333333,56.99,56.66
22,24.46666667,7.266,8.252333333,29.587,28.75533333,1.6,2.4,0,1.333333333,1.6,6.933333333,2.4,13.06666667,56.66,78.1
35.5,25.6,8.153,7.557666667,60.253,37.36766667,14.4,7.2,0.8,1.6,55.2,24.8,104.8,47.73333333,78.1,125.7
51,36.16666667,13.276,9.565,93.951,61.26366667,20.8,12.26666667,2.4,1.066666667,76,44.26666667,136.8,81.33333333,125.7,195.9
65.5,50.66666667,25.561,15.66333333,69.503,74.569,10.4,15.2,16,6.4,12,47.73333333,28,89.86666667,195.9,125.4
32,49.5,20.715,19.85066667,40.514,67.98933333,7.2,12.8,4,7.466666667,0.8,29.6,24,62.93333333,125.4,161.5
64.3,53.93333333,36.54,27.60533333,106.753,72.25666667,39.2,18.93333333,8.8,9.6,82.8,31.86666667,118,56.66666667,161.5,204
69.1,55.13333333,28.457,28.57066667,60.325,69.19733333,5.6,17.33333333,1.6,4.8,8,30.53333333,12.8,51.6,204,200.6
94.6,76,33.761,32.91933333,142.159,103.079,36,26.93333333,12,7.466666667,72,54.26666667,72,67.6,200.6,234.4
99,87.56666667,38.484,33.56733333,77.439,93.30766667,8.8,16.8,2.4,5.333333333,7.2,29.06666667,40,41.6,234.4,160.1
